directory;filename;severity;errorType;errorMessage
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_42.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_18.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_22.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_19.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_21.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_44.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A70_23.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_41.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A70_41.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_18.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A70_45.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_20.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_27.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_19.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_42.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_23.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_43.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_24.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_26.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_25.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_27.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_28.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_30.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_39.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_22.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_29.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_40.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_44.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_45.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_58.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_40a.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_61.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_63.xml";"INFO";"XML";"Schema successfully validated against /mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/../ofmgrazSchema.rng"
